Id_hp,Nama_hp,Brand,Harga,Ram,Memori_internal,Ukuran_layar,Resolusi_kamera,Kapasitas_baterai,Os,Rating_pengguna,Tahun_rilis,Stok_tersedia,Label
1,Apple Max 10,Apple,15015201,12,256,5.5,48MP,4000,iOS,2.4,7/14/1905,True,Daily
2,Apple Max 11,Apple,18727456,4,512,6.1,108MP,5000,iOS,4.4,9/15/2020,False,Photographer
3,Apple Max 14,Apple,6526745,16,128,6.8,108MP,4000,iOS,4.1,1/15/2024,True,Photographer
4,Apple Max 16,Apple,13673821,16,256,6.1,12MP,4000,iOS,4.6,1/16/2024,True,Daily
5,Apple Max 16,Apple,14212345,4,256,6.5,12MP,4500,iOS,4.4,11/27/2019,True,Daily
6,Apple Max 16,Apple,2295326,12,64,6.8,108MP,6000,iOS,5.0,2023-10-07 00:00:00,False,Gaming
7,Apple Max 18,Apple,10540534,6,256,6.8,48MP,4000,iOS,3.6,8/27/2023,False,Daily
8,Apple Max 20,Apple,22889361,16,256,5.5,64MP,4000,iOS,3.7,5/31/2022,True,Photographer
9,Apple Max 22,Apple,5677986,12,256,6.1,12MP,4500,iOS,3.4,2020-11-04 00:00:00,True,Daily
10,Apple Max 22,Apple,5102004,12,512,6.7,108MP,6000,iOS,3.0,8/28/2020,False,Gaming
11,Apple Max 22,Apple,13155180,4,256,6.7,50MP,4000,iOS,1.7,2021-04-08 00:00:00,False,Photographer
12,Apple Max 24,Apple,2427121,12,128,6.1,108MP,4500,iOS,1.7,11/28/2020,True,Photographer
13,Apple Max 25,Apple,5585970,8,512,6.7,48MP,6000,iOS,4.0,5/19/2022,True,Daily
14,Apple Max 26,Apple,15409424,6,256,6.8,12MP,4000,iOS,4.2,4/14/2020,False,Daily
15,Apple Max 26,Apple,8469482,16,256,5.5,50MP,4500,iOS,1.5,2020-10-02 00:00:00,False,Gaming
16,Apple Max 26,Apple,4084823,8,512,6.5,64MP,4000,iOS,3.0,2020-05-09 00:00:00,True,Photographer
17,Apple Max 27,Apple,14366350,16,64,6.1,48MP,4000,iOS,2.3,2021-04-03 00:00:00,False,Daily
18,Apple Max 28,Apple,1825074,6,64,6.1,108MP,6000,iOS,1.7,11/28/2022,False,Photographer
